,Questions,Ratings
11296,Communication about medicines - star rating,2
11306,Discharge information - star rating,2
11315,Care transition - star rating,1
11329,Cleanliness - star rating,3
11334,Quietness - star rating,2
11339,Overall hospital rating - star rating,2
11344,Recommend hospital - star rating,2
11345,Summary star rating,2
11350,Nurse communication - star rating,3
11364,Doctor communication - star rating,3
11378,Staff responsiveness - star rating,2
11389,Communication about medicines - star rating,3
11399,Discharge information - star rating,3
11408,Care transition - star rating,3
11422,Cleanliness - star rating,4
11427,Quietness - star rating,2
11432,Overall hospital rating - star rating,3
11437,Recommend hospital - star rating,4
11438,Summary star rating,3
11443,Nurse communication - star rating,2
11457,Doctor communication - star rating,2
11471,Staff responsiveness - star rating,2
11482,Communication about medicines - star rating,2
11492,Discharge information - star rating,3
11501,Care transition - star rating,2
11515,Cleanliness - star rating,2
11520,Quietness - star rating,2
11525,Overall hospital rating - star rating,2
11530,Recommend hospital - star rating,2
11531,Summary star rating,2
11536,Nurse communication - star rating,1
11550,Doctor communication - star rating,2
11564,Staff responsiveness - star rating,1
11575,Communication about medicines - star rating,2
11585,Discharge information - star rating,2
11594,Care transition - star rating,2
11608,Cleanliness - star rating,1
11613,Quietness - star rating,1
11618,Overall hospital rating - star rating,2
11623,Recommend hospital - star rating,2
11624,Summary star rating,2
11629,Nurse communication - star rating,3
11643,Doctor communication - star rating,3
11657,Staff responsiveness - star rating,3
11668,Communication about medicines - star rating,3
11678,Discharge information - star rating,4
11687,Care transition - star rating,3
11701,Cleanliness - star rating,2
11706,Quietness - star rating,3
11711,Overall hospital rating - star rating,3
11716,Recommend hospital - star rating,4
11717,Summary star rating,3
11722,Nurse communication - star rating,3
11736,Doctor communication - star rating,3
11750,Staff responsiveness - star rating,2
11761,Communication about medicines - star rating,3
11771,Discharge information - star rating,3
11780,Care transition - star rating,3
11794,Cleanliness - star rating,3
11799,Quietness - star rating,2
11804,Overall hospital rating - star rating,4
11809,Recommend hospital - star rating,4
11810,Summary star rating,3
11815,Nurse communication - star rating,2
11829,Doctor communication - star rating,1
11843,Staff responsiveness - star rating,1
11854,Communication about medicines - star rating,1
11864,Discharge information - star rating,2
11873,Care transition - star rating,1
11887,Cleanliness - star rating,3
11892,Quietness - star rating,1
11897,Overall hospital rating - star rating,1
11902,Recommend hospital - star rating,1
11903,Summary star rating,1
11908,Nurse communication - star rating,4
11922,Doctor communication - star rating,3
11936,Staff responsiveness - star rating,3
11947,Communication about medicines - star rating,3
11957,Discharge information - star rating,4
11966,Care transition - star rating,3
11980,Cleanliness - star rating,3
11985,Quietness - star rating,2
11990,Overall hospital rating - star rating,3
11995,Recommend hospital - star rating,4
11996,Summary star rating,3
12001,Nurse communication - star rating,2
12015,Doctor communication - star rating,3
12029,Staff responsiveness - star rating,1
12040,Communication about medicines - star rating,2
12050,Discharge information - star rating,1
12059,Care transition - star rating,2
12073,Cleanliness - star rating,2
12078,Quietness - star rating,2
12083,Overall hospital rating - star rating,2
12088,Recommend hospital - star rating,2
12089,Summary star rating,2
12094,Nurse communication - star rating,3
12108,Doctor communication - star rating,3
12122,Staff responsiveness - star rating,3
12133,Communication about medicines - star rating,2
12143,Discharge information - star rating,3
12152,Care transition - star rating,2
12166,Cleanliness - star rating,3
12171,Quietness - star rating,2
12176,Overall hospital rating - star rating,4
12181,Recommend hospital - star rating,4
12182,Summary star rating,3
12187,Nurse communication - star rating,3
12201,Doctor communication - star rating,3
12215,Staff responsiveness - star rating,2
12226,Communication about medicines - star rating,3
12236,Discharge information - star rating,4
12245,Care transition - star rating,2
12259,Cleanliness - star rating,3
12264,Quietness - star rating,4
12269,Overall hospital rating - star rating,2
12274,Recommend hospital - star rating,2
12275,Summary star rating,3
12280,Nurse communication - star rating,3
12294,Doctor communication - star rating,2
12308,Staff responsiveness - star rating,3
12319,Communication about medicines - star rating,2
12329,Discharge information - star rating,3
12338,Care transition - star rating,2
12352,Cleanliness - star rating,4
12357,Quietness - star rating,2
12362,Overall hospital rating - star rating,2
12367,Recommend hospital - star rating,2
12368,Summary star rating,3
12373,Nurse communication - star rating,2
12387,Doctor communication - star rating,2
12401,Staff responsiveness - star rating,2
12412,Communication about medicines - star rating,2
12422,Discharge information - star rating,3
12431,Care transition - star rating,2
12445,Cleanliness - star rating,1
12450,Quietness - star rating,1
12455,Overall hospital rating - star rating,2
12460,Recommend hospital - star rating,2
12461,Summary star rating,2
12466,Nurse communication - star rating,3
12480,Doctor communication - star rating,2
12494,Staff responsiveness - star rating,3
12505,Communication about medicines - star rating,3
12515,Discharge information - star rating,3
12524,Care transition - star rating,2
12538,Cleanliness - star rating,4
12543,Quietness - star rating,3
12548,Overall hospital rating - star rating,3
12553,Recommend hospital - star rating,3
12554,Summary star rating,3
12559,Nurse communication - star rating,2
12573,Doctor communication - star rating,2
12587,Staff responsiveness - star rating,2
12598,Communication about medicines - star rating,2
12608,Discharge information - star rating,3
12617,Care transition - star rating,2
12631,Cleanliness - star rating,2
12636,Quietness - star rating,2
12641,Overall hospital rating - star rating,2
12646,Recommend hospital - star rating,3
12647,Summary star rating,2
12652,Nurse communication - star rating,2
12666,Doctor communication - star rating,2
12680,Staff responsiveness - star rating,2
12691,Communication about medicines - star rating,2
12701,Discharge information - star rating,3
12710,Care transition - star rating,2
12724,Cleanliness - star rating,1
12729,Quietness - star rating,1
12734,Overall hospital rating - star rating,2
12739,Recommend hospital - star rating,3
12740,Summary star rating,2
12745,Nurse communication - star rating,2
12759,Doctor communication - star rating,2
12773,Staff responsiveness - star rating,1
12784,Communication about medicines - star rating,2
12794,Discharge information - star rating,2
12803,Care transition - star rating,1
12817,Cleanliness - star rating,1
12822,Quietness - star rating,1
12827,Overall hospital rating - star rating,1
12832,Recommend hospital - star rating,1
12833,Summary star rating,2
12931,Nurse communication - star rating,2
12945,Doctor communication - star rating,2
12959,Staff responsiveness - star rating,3
12970,Communication about medicines - star rating,4
12980,Discharge information - star rating,3
12989,Care transition - star rating,2
13003,Cleanliness - star rating,3
13008,Quietness - star rating,2
13013,Overall hospital rating - star rating,2
13018,Recommend hospital - star rating,2
13019,Summary star rating,3
13210,Nurse communication - star rating,3
13224,Doctor communication - star rating,3
13238,Staff responsiveness - star rating,4
13249,Communication about medicines - star rating,4
13259,Discharge information - star rating,3
13268,Care transition - star rating,4
13282,Cleanliness - star rating,2
13287,Quietness - star rating,3
13292,Overall hospital rating - star rating,3
13297,Recommend hospital - star rating,4
13298,Summary star rating,3
13303,Nurse communication - star rating,1
13317,Doctor communication - star rating,1
13331,Staff responsiveness - star rating,1
13342,Communication about medicines - star rating,1
13352,Discharge information - star rating,1
13361,Care transition - star rating,1
13375,Cleanliness - star rating,2
13380,Quietness - star rating,2
13385,Overall hospital rating - star rating,1
13390,Recommend hospital - star rating,1
13391,Summary star rating,1
13396,Nurse communication - star rating,1
13410,Doctor communication - star rating,2
13424,Staff responsiveness - star rating,2
13435,Communication about medicines - star rating,2
13445,Discharge information - star rating,2
13454,Care transition - star rating,2
13468,Cleanliness - star rating,1
13473,Quietness - star rating,2
13478,Overall hospital rating - star rating,2
13483,Recommend hospital - star rating,2
13484,Summary star rating,2
13489,Nurse communication - star rating,2
13503,Doctor communication - star rating,2
13517,Staff responsiveness - star rating,2
13528,Communication about medicines - star rating,2
13538,Discharge information - star rating,3
13547,Care transition - star rating,2
13561,Cleanliness - star rating,3
13566,Quietness - star rating,1
13571,Overall hospital rating - star rating,2
13576,Recommend hospital - star rating,2
13577,Summary star rating,2
13582,Nurse communication - star rating,3
13596,Doctor communication - star rating,3
13610,Staff responsiveness - star rating,3
13621,Communication about medicines - star rating,2
13631,Discharge information - star rating,3
13640,Care transition - star rating,3
13654,Cleanliness - star rating,3
